year,month,date,series,value
1959,3,1959-03-01,Gold And Silver Closing Quotations,286.18
1959,4,1959-04-01,Oil And Gas Closing Quotations,509.02
1959,4,1959-04-01,Metals And Minerals Closing Quotations,669.21
1959,4,1959-04-01,Utilities Closing Quotations,874.74
1959,4,1959-04-01,Paper And Forest Products Closing Quotations,919.41
1959,4,1959-04-01,Merchandising Closing Quotations,500.99
1959,4,1959-04-01,Financial Services Closing Quotations,476.37
1959,4,1959-04-01,Gold And Silver Closing Quotations,296.4
1959,5,1959-05-01,Oil And Gas Closing Quotations,475.42
1959,5,1959-05-01,Metals And Minerals Closing Quotations,683.4
1959,5,1959-05-01,Utilities Closing Quotations,885.45
1959,5,1959-05-01,Paper And Forest Products Closing Quotations,881.59
1959,5,1959-05-01,Merchandising Closing Quotations,481.24
1959,5,1959-05-01,Financial Services Closing Quotations,484.11
1959,5,1959-05-01,Gold And Silver Closing Quotations,318.87
1959,6,1959-06-01,Oil And Gas Closing Quotations,464.45
1959,6,1959-06-01,Metals And Minerals Closing Quotations,710.23
1959,6,1959-06-01,Utilities Closing Quotations,880.8
1959,6,1959-06-01,Paper And Forest Products Closing Quotations,946.4
1959,6,1959-06-01,Merchandising Closing Quotations,449.08
1959,6,1959-06-01,Financial Services Closing Quotations,479.69
1959,6,1959-06-01,Gold And Silver Closing Quotations,318.56
1959,7,1959-07-01,Oil And Gas Closing Quotations,470.96
1959,7,1959-07-01,Metals And Minerals Closing Quotations,748.59
1959,7,1959-07-01,Utilities Closing Quotations,913.86
1959,7,1959-07-01,Paper And Forest Products Closing Quotations,937.16
1959,7,1959-07-01,Merchandising Closing Quotations,473.47
1959,7,1959-07-01,Financial Services Closing Quotations,510.83
1959,7,1959-07-01,Gold And Silver Closing Quotations,312.32
1959,8,1959-08-01,Oil And Gas Closing Quotations,450.75
1959,8,1959-08-01,Metals And Minerals Closing Quotations,711.28
1959,8,1959-08-01,Utilities Closing Quotations,875.41
1959,8,1959-08-01,Paper And Forest Products Closing Quotations,890.47
1959,8,1959-08-01,Merchandising Closing Quotations,435.12
1959,8,1959-08-01,Financial Services Closing Quotations,475.87
1959,8,1959-08-01,Gold And Silver Closing Quotations,308.5
1959,9,1959-09-01,Oil And Gas Closing Quotations,408.88
1959,9,1959-09-01,Metals And Minerals Closing Quotations,673.53
1959,9,1959-09-01,Utilities Closing Quotations,857.72
1959,9,1959-09-01,Paper And Forest Products Closing Quotations,853.48
1959,9,1959-09-01,Merchandising Closing Quotations,416.06
1959,9,1959-09-01,Financial Services Closing Quotations,464.97
1959,9,1959-09-01,Gold And Silver Closing Quotations,314.93
1959,10,1959-10-01,Oil And Gas Closing Quotations,411.65
